Time,P,Q,E,dS,DSR,DLR,USW,ULW,SH,NET
Jan-02,3.42E-01,5.43E-02,9.71E-02,1.90E-01,3.09E+00,6.65E+00,1.08E+00,8.64E+00,1.98E-01,-2.80E-01
Feb-02,3.98E-01,4.07E-02,2.42E-01,1.16E-01,4.41E+00,7.06E+00,1.43E+00,9.31E+00,6.16E-01,-1.34E-01
Mar-02,6.94E-01,7.26E-02,5.08E-01,1.13E-01,5.93E+00,7.95E+00,1.59E+00,1.05E+01,1.22E+00,8.46E-02
Apr-02,1.17E+00,1.62E-01,9.83E-01,2.82E-02,7.18E+00,9.23E+00,1.54E+00,1.19E+01,1.70E+00,2.95E-01
May-02,1.69E+00,2.43E-01,1.60E+00,-1.50E-01,8.05E+00,1.06E+01,1.45E+00,1.33E+01,1.88E+00,4.20E-01
Jun-02,2.30E+00,2.98E-01,2.18E+00,-1.78E-01,8.38E+00,1.17E+01,1.40E+00,1.43E+01,1.73E+00,4.51E-01
Jul-02,2.59E+00,2.83E-01,2.43E+00,-1.31E-01,8.08E+00,1.22E+01,1.32E+00,1.46E+01,1.47E+00,4.12E-01
Aug-02,2.13E+00,2.49E-01,2.09E+00,-2.08E-01,7.24E+00,1.17E+01,1.17E+00,1.41E+01,1.28E+00,2.99E-01
Sep-02,1.42E+00,2.29E-01,1.37E+00,-1.79E-01,5.91E+00,1.05E+01,9.92E-01,1.28E+01,1.07E+00,1.21E-01
Oct-02,9.46E-01,2.27E-01,7.30E-01,-1.17E-02,4.34E+00,8.93E+00,8.71E-01,1.11E+01,6.90E-01,-7.55E-02
Nov-02,5.44E-01,2.03E-01,3.20E-01,2.11E-02,3.11E+00,7.50E+00,8.48E-01,9.39E+00,3.02E-01,-2.58E-01
Dec-02,2.63E-01,1.27E-01,1.19E-01,1.78E-02,2.61E+00,6.59E+00,9.23E-01,8.42E+00,1.11E-01,-3.68E-01
Jan-03,2.15E-01,5.77E-02,1.04E-01,5.38E-02,3.05E+00,6.43E+00,1.18E+00,8.32E+00,2.14E-01,-3.38E-01
Feb-03,2.52E-01,3.59E-02,2.35E-01,-1.91E-02,4.36E+00,6.88E+00,1.54E+00,8.99E+00,6.48E-01,-1.80E-01
Mar-03,4.10E-01,7.51E-02,4.68E-01,-1.33E-01,5.96E+00,7.82E+00,1.69E+00,1.03E+01,1.29E+00,6.09E-02
Apr-03,7.80E-01,1.04E-01,7.96E-01,-1.20E-01,7.19E+00,9.07E+00,1.55E+00,1.18E+01,1.81E+00,2.95E-01
May-03,1.39E+00,1.42E-01,1.22E+00,3.48E-02,7.78E+00,1.04E+01,1.38E+00,1.32E+01,1.96E+00,3.80E-01
Jun-03,2.30E+00,2.78E-01,1.70E+00,3.21E-01,7.80E+00,1.15E+01,1.28E+00,1.42E+01,1.77E+00,3.41E-01
Jul-03,3.04E+00,3.45E-01,2.10E+00,5.94E-01,7.45E+00,1.20E+01,1.20E+00,1.44E+01,1.45E+00,3.03E-01
Aug-03,2.89E+00,3.95E-01,2.09E+00,4.10E-01,6.84E+00,1.16E+01,1.10E+00,1.38E+01,1.20E+00,2.53E-01
Sep-03,2.00E+00,4.32E-01,1.60E+00,-3.52E-02,5.80E+00,1.04E+01,9.46E-01,1.26E+01,9.66E-01,1.13E-01
Oct-03,1.17E+00,3.92E-01,8.83E-01,-1.09E-01,4.37E+00,8.97E+00,8.20E-01,1.11E+01,6.34E-01,-1.12E-01
Nov-03,6.59E-01,2.62E-01,3.35E-01,6.24E-02,3.15E+00,7.56E+00,8.26E-01,9.63E+00,2.89E-01,-3.72E-01
Dec-03,3.57E-01,1.31E-01,9.43E-02,1.31E-01,2.69E+00,6.63E+00,9.73E-01,8.65E+00,1.08E-01,-5.18E-01
Jan-04,2.94E-01,6.20E-02,8.19E-02,1.50E-01,3.19E+00,6.36E+00,1.30E+00,8.42E+00,2.08E-01,-4.61E-01
