Time,P,Q,E,dS,DSR,DLR,USW,ULW,SH,NET
Jan-02,4.51E+00,1.10E+00,3.34E+00,6.69E-02,7.37E+00,1.37E+01,9.27E-01,1.51E+01,1.48E+00,1.89E-01
Feb-02,4.77E+00,1.29E+00,3.49E+00,-7.15E-03,7.50E+00,1.37E+01,9.48E-01,1.52E+01,1.50E+00,1.29E-01
Mar-02,5.28E+00,1.61E+00,3.69E+00,-1.37E-02,7.57E+00,1.38E+01,9.79E-01,1.52E+01,1.40E+00,6.10E-02
Apr-02,5.01E+00,1.73E+00,3.59E+00,-3.10E-01,7.56E+00,1.37E+01,9.82E-01,1.52E+01,1.39E+00,5.74E-02
May-02,3.76E+00,1.44E+00,3.21E+00,-8.88E-01,7.47E+00,1.35E+01,9.47E-01,1.52E+01,1.51E+00,6.91E-02
Jun-02,2.62E+00,9.52E-01,2.89E+00,-1.23E+00,7.22E+00,1.33E+01,8.88E-01,1.51E+01,1.67E+00,-1.53E-02
Jul-02,2.60E+00,7.56E-01,2.79E+00,-9.51E-01,7.00E+00,1.34E+01,8.55E-01,1.51E+01,1.74E+00,-1.29E-01
Aug-02,3.57E+00,9.97E-01,2.81E+00,-2.32E-01,6.99E+00,1.35E+01,8.86E-01,1.52E+01,1.74E+00,-1.41E-01
Sep-02,4.91E+00,1.37E+00,2.91E+00,6.26E-01,7.11E+00,1.36E+01,9.43E-01,1.53E+01,1.66E+00,-9.98E-02
Oct-02,5.89E+00,1.57E+00,3.05E+00,1.26E+00,7.08E+00,1.36E+01,9.61E-01,1.53E+01,1.51E+00,-9.21E-02
Nov-02,5.92E+00,1.48E+00,3.18E+00,1.27E+00,7.03E+00,1.36E+01,9.42E-01,1.52E+01,1.39E+00,-6.22E-02
Dec-02,5.45E+00,1.36E+00,3.40E+00,6.82E-01,7.18E+00,1.36E+01,9.18E-01,1.51E+01,1.37E+00,-1.07E-02
Jan-03,4.91E+00,1.47E+00,3.51E+00,-7.43E-02,7.40E+00,1.37E+01,9.20E-01,1.52E+01,1.45E+00,5.89E-02
Feb-03,4.70E+00,1.57E+00,3.59E+00,-4.53E-01,7.57E+00,1.38E+01,9.60E-01,1.52E+01,1.48E+00,6.20E-02
Mar-03,4.89E+00,1.53E+00,3.59E+00,-2.29E-01,7.54E+00,1.38E+01,9.86E-01,1.53E+01,1.44E+00,4.23E-02
Apr-03,4.60E+00,1.43E+00,3.30E+00,-1.31E-01,7.33E+00,1.37E+01,9.61E-01,1.52E+01,1.44E+00,6.54E-02
May-03,3.62E+00,1.17E+00,2.91E+00,-4.64E-01,7.04E+00,1.35E+01,9.04E-01,1.52E+01,1.54E+00,9.80E-04
Jun-03,2.74E+00,8.65E-01,2.56E+00,-6.80E-01,6.77E+00,1.33E+01,8.46E-01,1.51E+01,1.69E+00,-1.07E-01
Jul-03,2.60E+00,7.22E-01,2.46E+00,-5.84E-01,6.78E+00,1.33E+01,8.22E-01,1.51E+01,1.80E+00,-1.19E-01
Aug-03,3.11E+00,8.43E-01,2.61E+00,-3.43E-01,6.99E+00,1.34E+01,8.48E-01,1.52E+01,1.81E+00,-5.83E-02
Sep-03,3.85E+00,9.99E-01,2.84E+00,1.52E-02,7.16E+00,1.36E+01,9.09E-01,1.53E+01,1.71E+00,-2.17E-02
Oct-03,4.50E+00,9.46E-01,2.98E+00,5.80E-01,7.21E+00,1.36E+01,9.57E-01,1.53E+01,1.56E+00,9.59E-03
Nov-03,4.78E+00,8.21E-01,3.02E+00,9.39E-01,7.16E+00,1.36E+01,9.61E-01,1.53E+01,1.46E+00,5.46E-02
Dec-03,4.53E+00,7.73E-01,3.23E+00,5.31E-01,7.21E+00,1.37E+01,9.45E-01,1.52E+01,1.45E+00,1.58E-02
Jan-04,4.13E+00,8.70E-01,3.43E+00,-1.71E-01,7.35E+00,1.37E+01,9.40E-01,1.52E+01,1.50E+00,-9.87E-03
Feb-04,4.14E+00,1.01E+00,3.51E+00,-3.82E-01,7.47E+00,1.38E+01,9.48E-01,1.53E+01,1.53E+00,3.05E-02
Mar-04,4.40E+00,1.07E+00,3.56E+00,-2.30E-01,7.46E+00,1.38E+01,9.46E-01,1.53E+01,1.48E+00,1.52E-02
Apr-04,4.06E+00,1.04E+00,3.49E+00,-4.65E-01,7.34E+00,1.37E+01,9.19E-01,1.52E+01,1.46E+00,-6.55E-02
May-04,3.14E+00,8.61E-01,3.27E+00,-9.94E-01,7.20E+00,1.34E+01,8.66E-01,1.51E+01,1.53E+00,-1.56E-01
Jun-04,2.49E+00,6.54E-01,2.89E+00,-1.05E+00,7.01E+00,1.32E+01,8.13E-01,1.50E+01,1.68E+00,-1.57E-01
Jul-04,2.50E+00,5.74E-01,2.59E+00,-6.62E-01,6.95E+00,1.32E+01,7.93E-01,1.50E+01,1.79E+00,-5.29E-02
Aug-04,3.23E+00,6.92E-01,2.66E+00,-1.23E-01,7.10E+00,1.34E+01,8.23E-01,1.52E+01,1.78E+00,6.33E-02
Sep-04,4.52E+00,9.99E-01,2.97E+00,5.54E-01,7.28E+00,1.36E+01,8.87E-01,1.53E+01,1.65E+00,9.46E-02
Oct-04,5.65E+00,1.29E+00,3.22E+00,1.14E+00,7.28E+00,1.37E+01,9.29E-01,1.53E+01,1.48E+00,7.15E-02
Nov-04,5.89E+00,1.40E+00,3.38E+00,1.11E+00,7.18E+00,1.37E+01,9.16E-01,1.52E+01,1.36E+00,4.39E-02
Dec-04,5.28E+00,1.36E+00,3.49E+00,4.30E-01,7.26E+00,1.37E+01,8.87E-01,1.51E+01,1.38E+00,7.61E-02
Jan-05,4.53E+00,1.27E+00,3.41E+00,-1.52E-01,7.49E+00,1.37E+01,8.95E-01,1.52E+01,1.52E+00,1.82E-01
Feb-05,4.39E+00,1.25E+00,3.47E+00,-3.20E-01,7.67E+00,1.38E+01,9.32E-01,1.53E+01,1.57E+00,1.84E-01
Mar-05,4.52E+00,1.30E+00,3.55E+00,-3.27E-01,7.67E+00,1.38E+01,9.55E-01,1.53E+01,1.50E+00,1.51E-01
Apr-05,4.23E+00,1.21E+00,3.40E+00,-3.81E-01,7.50E+00,1.37E+01,9.42E-01,1.53E+01,1.47E+00,8.74E-02
May-05,3.43E+00,9.43E-01,3.07E+00,-5.83E-01,7.18E+00,1.34E+01,8.88E-01,1.52E+01,1.54E+00,-6.72E-02
Jun-05,2.55E+00,6.53E-01,2.68E+00,-7.82E-01,6.88E+00,1.32E+01,8.15E-01,1.51E+01,1.69E+00,-1.67E-01
Jul-05,2.28E+00,4.91E-01,2.39E+00,-6.01E-01,6.77E+00,1.32E+01,7.80E-01,1.51E+01,1.83E+00,-1.55E-01
Aug-05,3.02E+00,5.92E-01,2.50E+00,-6.69E-02,6.85E+00,1.33E+01,8.01E-01,1.52E+01,1.86E+00,-1.61E-01
Sep-05,4.29E+00,9.32E-01,2.87E+00,4.80E-01,7.06E+00,1.36E+01,8.53E-01,1.53E+01,1.73E+00,-1.33E-01
Oct-05,5.08E+00,1.20E+00,3.23E+00,6.47E-01,7.28E+00,1.37E+01,9.00E-01,1.53E+01,1.54E+00,1.28E-03
Nov-05,4.99E+00,1.20E+00,3.44E+00,3.44E-01,7.42E+00,1.37E+01,9.17E-01,1.52E+01,1.41E+00,1.47E-01
Dec-05,4.55E+00,1.04E+00,3.49E+00,1.42E-02,7.45E+00,1.38E+01,9.11E-01,1.52E+01,1.41E+00,1.96E-01
Jan-06,4.52E+00,1.04E+00,3.48E+00,1.54E-03,7.48E+00,1.38E+01,9.15E-01,1.52E+01,1.47E+00,1.60E-01
Feb-06,5.07E+00,1.30E+00,3.58E+00,1.79E-01,7.56E+00,1.38E+01,9.36E-01,1.53E+01,1.48E+00,8.57E-02
Mar-06,5.36E+00,1.53E+00,3.69E+00,1.44E-01,7.63E+00,1.38E+01,9.59E-01,1.53E+01,1.41E+00,6.66E-02
Apr-06,4.80E+00,1.44E+00,3.57E+00,-2.03E-01,7.53E+00,1.36E+01,9.54E-01,1.52E+01,1.37E+00,7.93E-02
May-06,3.77E+00,1.11E+00,3.26E+00,-6.03E-01,7.30E+00,1.34E+01,9.12E-01,1.51E+01,1.45E+00,2.87E-02
Jun-06,2.93E+00,8.16E-01,2.94E+00,-8.29E-01,7.15E+00,1.32E+01,8.52E-01,1.50E+01,1.62E+00,-3.71E-02
Jul-06,2.72E+00,7.24E-01,2.70E+00,-7.02E-01,7.04E+00,1.32E+01,8.12E-01,1.50E+01,1.75E+00,-5.71E-02
Aug-06,3.22E+00,8.04E-01,2.61E+00,-1.95E-01,7.03E+00,1.33E+01,8.28E-01,1.52E+01,1.81E+00,-3.52E-02
Sep-06,4.32E+00,9.33E-01,2.77E+00,6.13E-01,7.15E+00,1.35E+01,8.84E-01,1.53E+01,1.74E+00,-2.30E-02
Oct-06,5.57E+00,1.11E+00,2.99E+00,1.48E+00,7.13E+00,1.36E+01,9.09E-01,1.53E+01,1.57E+00,-4.23E-02
Nov-06,6.12E+00,1.28E+00,3.15E+00,1.70E+00,6.96E+00,1.36E+01,8.74E-01,1.52E+01,1.41E+00,-7.25E-02
Dec-06,5.60E+00,1.32E+00,3.29E+00,9.92E-01,7.04E+00,1.36E+01,8.28E-01,1.51E+01,1.41E+00,3.71E-03
Jan-07,4.74E+00,1.29E+00,3.34E+00,1.06E-01,7.34E+00,1.36E+01,8.25E-01,1.51E+01,1.51E+00,1.52E-01
Feb-07,4.55E+00,1.40E+00,3.51E+00,-3.59E-01,7.60E+00,1.37E+01,8.66E-01,1.52E+01,1.54E+00,1.79E-01
Mar-07,4.95E+00,1.65E+00,3.73E+00,-4.29E-01,7.74E+00,1.37E+01,9.12E-01,1.52E+01,1.45E+00,1.55E-01
Apr-07,4.97E+00,1.75E+00,3.63E+00,-4.09E-01,7.64E+00,1.37E+01,9.25E-01,1.52E+01,1.40E+00,1.34E-01
May-07,4.01E+00,1.44E+00,3.15E+00,-5.77E-01,7.30E+00,1.34E+01,8.89E-01,1.51E+01,1.49E+00,4.22E-02
Jun-07,2.96E+00,9.40E-01,2.68E+00,-6.62E-01,6.91E+00,1.32E+01,8.17E-01,1.50E+01,1.65E+00,-1.06E-01
Jul-07,2.87E+00,7.37E-01,2.53E+00,-3.91E-01,6.76E+00,1.32E+01,7.78E-01,1.50E+01,1.75E+00,-1.77E-01
Aug-07,3.71E+00,9.62E-01,2.68E+00,6.82E-02,6.90E+00,1.33E+01,8.06E-01,1.51E+01,1.75E+00,-1.77E-01
Sep-07,5.01E+00,1.38E+00,2.98E+00,6.50E-01,7.10E+00,1.35E+01,8.66E-01,1.52E+01,1.64E+00,-1.55E-01
Oct-07,6.11E+00,1.71E+00,3.26E+00,1.14E+00,7.21E+00,1.36E+01,9.11E-01,1.52E+01,1.48E+00,-1.01E-01
Nov-07,6.15E+00,1.74E+00,3.43E+00,9.74E-01,7.18E+00,1.36E+01,9.07E-01,1.52E+01,1.35E+00,-6.25E-02
Dec-07,5.29E+00,1.51E+00,3.50E+00,2.80E-01,7.18E+00,1.36E+01,8.75E-01,1.51E+01,1.35E+00,-2.90E-02
Jan-08,4.64E+00,1.33E+00,3.44E+00,-1.26E-01,7.32E+00,1.36E+01,8.65E-01,1.51E+01,1.45E+00,6.80E-02
Feb-08,4.76E+00,1.32E+00,3.44E+00,-3.67E-03,7.52E+00,1.36E+01,8.90E-01,1.52E+01,1.50E+00,1.24E-01
Mar-08,5.00E+00,1.38E+00,3.47E+00,1.53E-01,7.57E+00,1.36E+01,9.28E-01,1.52E+01,1.45E+00,1.12E-01
Apr-08,4.50E+00,1.32E+00,3.35E+00,-1.75E-01,7.45E+00,1.35E+01,9.39E-01,1.51E+01,1.44E+00,7.40E-02
May-08,3.39E+00,1.04E+00,3.07E+00,-7.17E-01,7.28E+00,1.33E+01,9.01E-01,1.50E+01,1.53E+00,3.43E-02
Jun-08,2.66E+00,7.32E-01,2.80E+00,-8.72E-01,7.13E+00,1.31E+01,8.35E-01,1.49E+01,1.68E+00,-1.49E-02
Jul-08,2.70E+00,6.34E-01,2.68E+00,-6.16E-01,7.05E+00,1.32E+01,7.95E-01,1.50E+01,1.78E+00,-3.69E-02
Aug-08,3.26E+00,8.20E-01,2.74E+00,-3.04E-01,7.13E+00,1.33E+01,8.18E-01,1.51E+01,1.80E+00,-1.43E-02
Sep-08,4.14E+00,1.08E+00,2.98E+00,8.14E-02,7.32E+00,1.35E+01,8.80E-01,1.53E+01,1.71E+00,1.07E-02
Oct-08,4.99E+00,1.18E+00,3.21E+00,5.98E-01,7.35E+00,1.36E+01,9.22E-01,1.53E+01,1.54E+00,2.17E-02
Nov-08,5.11E+00,1.08E+00,3.29E+00,7.38E-01,7.20E+00,1.37E+01,9.22E-01,1.52E+01,1.41E+00,1.74E-02
Dec-08,4.59E+00,8.80E-01,3.28E+00,4.34E-01,7.14E+00,1.37E+01,9.07E-01,1.52E+01,1.43E+00,2.54E-02
Jan-09,4.42E+00,8.49E-01,3.34E+00,2.37E-01,7.28E+00,1.37E+01,9.11E-01,1.52E+01,1.50E+00,2.44E-02
Feb-09,4.78E+00,1.08E+00,3.49E+00,2.10E-01,7.49E+00,1.37E+01,9.41E-01,1.52E+01,1.50E+00,3.62E-02
Mar-09,5.04E+00,1.35E+00,3.56E+00,1.33E-01,7.62E+00,1.37E+01,9.69E-01,1.52E+01,1.45E+00,1.03E-01
Apr-09,4.64E+00,1.43E+00,3.36E+00,-1.51E-01,7.52E+00,1.36E+01,9.60E-01,1.52E+01,1.45E+00,1.42E-01
May-09,3.49E+00,1.13E+00,3.00E+00,-6.42E-01,7.25E+00,1.34E+01,9.10E-01,1.51E+01,1.55E+00,9.13E-02
Jun-09,2.54E+00,7.23E-01,2.70E+00,-8.86E-01,7.04E+00,1.33E+01,8.44E-01,1.51E+01,1.72E+00,6.55E-03
Jul-09,2.59E+00,6.00E-01,2.69E+00,-7.06E-01,7.01E+00,1.33E+01,8.08E-01,1.50E+01,1.80E+00,-5.92E-02
Aug-09,3.22E+00,7.65E-01,2.76E+00,-3.08E-01,7.12E+00,1.34E+01,8.27E-01,1.52E+01,1.80E+00,1.03E-03
Sep-09,4.06E+00,8.97E-01,2.88E+00,2.83E-01,7.21E+00,1.36E+01,8.81E-01,1.53E+01,1.72E+00,5.69E-02
Oct-09,5.03E+00,1.02E+00,3.13E+00,8.86E-01,7.18E+00,1.37E+01,9.19E-01,1.53E+01,1.53E+00,1.07E-03
Nov-09,5.43E+00,1.03E+00,3.32E+00,1.08E+00,7.10E+00,1.37E+01,9.15E-01,1.52E+01,1.38E+00,-3.48E-02
Dec-09,4.99E+00,8.96E-01,3.31E+00,7.76E-01,7.10E+00,1.37E+01,8.89E-01,1.52E+01,1.38E+00,1.25E-02
Jan-10,4.69E+00,9.51E-01,3.35E+00,3.96E-01,7.20E+00,1.38E+01,8.84E-01,1.53E+01,1.42E+00,3.89E-02
Feb-10,5.03E+00,1.28E+00,3.50E+00,2.45E-01,7.37E+00,1.38E+01,9.18E-01,1.54E+01,1.39E+00,3.53E-02
Mar-10,5.18E+00,1.46E+00,3.64E+00,8.97E-02,7.58E+00,1.38E+01,9.60E-01,1.54E+01,1.36E+00,7.76E-02
Apr-10,4.54E+00,1.34E+00,3.50E+00,-2.98E-01,7.62E+00,1.37E+01,9.71E-01,1.54E+01,1.41E+00,9.97E-02
May-10,3.43E+00,1.05E+00,3.20E+00,-8.22E-01,7.38E+00,1.35E+01,9.22E-01,1.52E+01,1.53E+00,-2.40E-02
Jun-10,2.66E+00,8.01E-01,2.94E+00,-1.08E+00,7.07E+00,1.33E+01,8.39E-01,1.51E+01,1.65E+00,-1.60E-01
Jul-10,2.70E+00,7.96E-01,2.78E+00,-8.79E-01,6.97E+00,1.32E+01,7.98E-01,1.50E+01,1.76E+00,-1.67E-01
Aug-10,3.33E+00,1.02E+00,2.76E+00,-4.52E-01,7.15E+00,1.33E+01,8.30E-01,1.51E+01,1.81E+00,-9.90E-02
Sep-10,4.15E+00,1.18E+00,2.92E+00,5.60E-02,7.37E+00,1.34E+01,8.92E-01,1.53E+01,1.73E+00,-3.52E-02
Oct-10,4.99E+00,1.24E+00,3.16E+00,5.89E-01,7.41E+00,1.36E+01,9.33E-01,1.53E+01,1.55E+00,-5.68E-03
Nov-10,5.40E+00,1.28E+00,3.36E+00,7.57E-01,7.34E+00,1.36E+01,9.33E-01,1.52E+01,1.39E+00,8.21E-03
Dec-10,5.08E+00,1.22E+00,3.45E+00,4.12E-01,7.33E+00,1.36E+01,9.07E-01,1.51E+01,1.36E+00,7.93E-02
Jan-11,4.63E+00,1.22E+00,3.45E+00,-4.05E-02,7.44E+00,1.36E+01,8.96E-01,1.51E+01,1.42E+00,1.77E-01
Feb-11,4.68E+00,1.38E+00,3.56E+00,-2.61E-01,7.61E+00,1.37E+01,9.19E-01,1.52E+01,1.44E+00,1.92E-01
Mar-11,4.80E+00,1.44E+00,3.68E+00,-3.21E-01,7.74E+00,1.37E+01,9.51E-01,1.52E+01,1.42E+00,1.95E-01
Apr-11,4.16E+00,1.24E+00,3.47E+00,-5.55E-01,7.66E+00,1.37E+01,9.57E-01,1.52E+01,1.47E+00,2.21E-01
May-11,3.05E+00,9.01E-01,3.10E+00,-9.51E-01,7.31E+00,1.35E+01,9.02E-01,1.51E+01,1.58E+00,9.00E-02
Jun-11,2.36E+00,6.17E-01,2.77E+00,-1.02E+00,6.94E+00,1.33E+01,8.13E-01,1.50E+01,1.71E+00,-9.51E-02
Jul-11,2.53E+00,5.62E-01,2.61E+00,-6.37E-01,6.84E+00,1.32E+01,7.73E-01,1.50E+01,1.81E+00,-1.59E-01
Aug-11,3.72E+00,8.88E-01,2.77E+00,6.34E-02,6.96E+00,1.33E+01,8.04E-01,1.51E+01,1.78E+00,-1.87E-01
Sep-11,5.32E+00,1.41E+00,3.09E+00,8.14E-01,7.08E+00,1.35E+01,8.64E-01,1.52E+01,1.62E+00,-1.94E-01
Oct-11,5.99E+00,1.60E+00,3.30E+00,1.10E+00,7.05E+00,1.36E+01,8.95E-01,1.52E+01,1.42E+00,-1.69E-01
Nov-11,5.45E+00,1.34E+00,3.25E+00,8.63E-01,6.92E+00,1.36E+01,8.76E-01,1.51E+01,1.33E+00,-8.53E-02
Dec-11,4.54E+00,9.87E-01,3.16E+00,4.00E-01,6.93E+00,1.36E+01,8.44E-01,1.51E+01,1.38E+00,5.84E-02
Jan-12,4.02E+00,8.85E-01,3.24E+00,-1.04E-01,7.13E+00,1.37E+01,8.42E-01,1.51E+01,1.46E+00,1.38E-01
Feb-12,4.08E+00,9.94E-01,3.38E+00,-2.88E-01,7.35E+00,1.38E+01,8.71E-01,1.52E+01,1.49E+00,1.66E-01
Mar-12,4.17E+00,1.00E+00,3.37E+00,-1.98E-01,7.47E+00,1.37E+01,9.05E-01,1.53E+01,1.50E+00,1.70E-01
Apr-12,3.85E+00,8.87E-01,3.22E+00,-2.51E-01,7.36E+00,1.36E+01,9.12E-01,1.52E+01,1.54E+00,5.22E-02
May-12,3.34E+00,7.47E-01,3.13E+00,-5.37E-01,7.10E+00,1.34E+01,8.69E-01,1.51E+01,1.58E+00,-1.80E-01
Jun-12,2.87E+00,6.51E-01,2.96E+00,-7.36E-01,6.85E+00,1.32E+01,8.02E-01,1.50E+01,1.65E+00,-3.09E-01
Jul-12,2.91E+00,6.92E-01,2.75E+00,-5.29E-01,6.74E+00,1.32E+01,7.70E-01,1.50E+01,1.74E+00,-2.99E-01
Aug-12,3.67E+00,9.01E-01,2.74E+00,3.12E-02,6.79E+00,1.34E+01,7.95E-01,1.51E+01,1.74E+00,-2.28E-01
Sep-12,4.80E+00,1.20E+00,2.98E+00,6.17E-01,6.96E+00,1.36E+01,8.56E-01,1.52E+01,1.64E+00,-1.70E-01
Oct-12,5.83E+00,1.54E+00,3.26E+00,1.03E+00,7.08E+00,1.36E+01,9.01E-01,1.52E+01,1.46E+00,-1.31E-01
Nov-12,6.16E+00,1.66E+00,3.40E+00,1.10E+00,7.08E+00,1.37E+01,9.03E-01,1.52E+01,1.31E+00,-5.86E-02
Dec-12,5.51E+00,1.47E+00,3.36E+00,6.70E-01,7.11E+00,1.37E+01,8.80E-01,1.51E+01,1.30E+00,8.74E-02
