Time,P,Q,E,dS,DSR,DLR,USW,ULW,SH,NET
Jan-02,1.66E+00,6.43E-01,4.36E-01,5.81E-01,3.49E+00,8.93E+00,8.03E-01,1.08E+01,4.96E-01,-1.05E-01
Feb-02,1.77E+00,7.30E-01,6.86E-01,3.55E-01,4.46E+00,9.05E+00,1.09E+00,1.09E+01,8.82E-01,-7.81E-02
Mar-02,2.27E+00,7.79E-01,1.15E+00,3.47E-01,5.73E+00,9.62E+00,1.31E+00,1.16E+01,1.35E+00,-1.90E-02
Apr-02,2.76E+00,5.63E-01,1.87E+00,3.33E-01,7.10E+00,1.05E+01,1.38E+00,1.26E+01,1.66E+00,8.18E-02
May-02,2.95E+00,5.14E-01,2.67E+00,-2.37E-01,8.34E+00,1.15E+01,1.45E+00,1.38E+01,1.74E+00,2.09E-01
Jun-02,2.77E+00,5.23E-01,3.36E+00,-1.11E+00,9.07E+00,1.24E+01,1.51E+00,1.47E+01,1.68E+00,2.29E-01
Jul-02,2.54E+00,3.63E-01,3.66E+00,-1.48E+00,9.02E+00,1.29E+01,1.47E+00,1.51E+01,1.58E+00,1.02E-01
Aug-02,2.46E+00,2.93E-01,3.27E+00,-1.10E+00,8.11E+00,1.27E+01,1.30E+00,1.48E+01,1.44E+00,1.66E-03
Sep-02,2.41E+00,3.00E-01,2.34E+00,-2.27E-01,6.51E+00,1.19E+01,1.03E+00,1.39E+01,1.20E+00,-4.57E-02
Oct-02,2.17E+00,3.32E-01,1.33E+00,5.04E-01,4.73E+00,1.08E+01,7.81E-01,1.26E+01,8.72E-01,-1.15E-01
Nov-02,1.73E+00,3.75E-01,6.86E-01,6.74E-01,3.47E+00,9.70E+00,6.44E-01,1.15E+01,5.53E-01,-2.26E-01
Dec-02,1.45E+00,4.49E-01,4.44E-01,5.62E-01,2.96E+00,9.05E+00,6.51E-01,1.08E+01,3.82E-01,-2.89E-01
Jan-03,1.53E+00,5.52E-01,4.65E-01,5.08E-01,3.16E+00,8.87E+00,8.11E-01,1.05E+01,4.75E-01,-2.72E-01
Feb-03,1.84E+00,6.58E-01,7.17E-01,4.66E-01,4.08E+00,9.14E+00,1.05E+00,1.08E+01,8.41E-01,-2.07E-01
Mar-03,2.18E+00,6.32E-01,1.22E+00,3.26E-01,5.55E+00,9.78E+00,1.21E+00,1.17E+01,1.31E+00,-9.76E-02
Apr-03,2.70E+00,5.61E-01,1.96E+00,1.78E-01,7.00E+00,1.06E+01,1.30E+00,1.28E+01,1.60E+00,1.62E-02
May-03,3.27E+00,6.90E-01,2.79E+00,-2.14E-01,8.04E+00,1.15E+01,1.37E+00,1.37E+01,1.63E+00,9.68E-02
Jun-03,3.22E+00,6.43E-01,3.47E+00,-8.91E-01,8.80E+00,1.23E+01,1.45E+00,1.45E+01,1.56E+00,1.70E-01
Jul-03,2.69E+00,3.97E-01,3.50E+00,-1.20E+00,8.99E+00,1.28E+01,1.47E+00,1.50E+01,1.55E+00,3.03E-01
Aug-03,2.35E+00,2.72E-01,2.92E+00,-8.36E-01,8.22E+00,1.27E+01,1.35E+00,1.48E+01,1.51E+00,2.76E-01
Sep-03,2.13E+00,2.58E-01,2.12E+00,-2.43E-01,6.77E+00,1.18E+01,1.12E+00,1.40E+01,1.32E+00,4.60E-02
Oct-03,1.88E+00,3.09E-01,1.28E+00,2.90E-01,5.08E+00,1.07E+01,9.01E-01,1.28E+01,9.70E-01,-1.47E-01
Nov-03,1.81E+00,4.18E-01,6.94E-01,6.98E-01,3.61E+00,9.81E+00,7.47E-01,1.17E+01,5.90E-01,-2.81E-01
Dec-03,1.76E+00,5.27E-01,4.47E-01,7.88E-01,2.94E+00,9.16E+00,7.34E-01,1.09E+01,3.81E-01,-3.19E-01
Jan-04,1.73E+00,6.32E-01,4.73E-01,6.29E-01,3.24E+00,8.92E+00,9.13E-01,1.06E+01,4.81E-01,-2.69E-01
Feb-04,1.93E+00,7.84E-01,7.52E-01,3.91E-01,4.33E+00,9.19E+00,1.14E+00,1.09E+01,8.57E-01,-1.80E-01
Mar-04,2.30E+00,9.00E-01,1.27E+00,1.30E-01,5.82E+00,9.85E+00,1.25E+00,1.19E+01,1.32E+00,-3.88E-02
Apr-04,2.82E+00,8.41E-01,1.98E+00,-5.00E-03,7.22E+00,1.07E+01,1.32E+00,1.29E+01,1.62E+00,1.05E-01
May-04,3.38E+00,7.21E-01,2.77E+00,-1.04E-01,8.17E+00,1.16E+01,1.40E+00,1.37E+01,1.64E+00,1.99E-01
Jun-04,3.57E+00,6.16E-01,3.36E+00,-4.07E-01,8.63E+00,1.23E+01,1.45E+00,1.44E+01,1.52E+00,2.39E-01
Jul-04,3.24E+00,4.77E-01,3.54E+00,-7.78E-01,8.60E+00,1.26E+01,1.42E+00,1.46E+01,1.44E+00,1.91E-01
Aug-04,2.72E+00,3.92E-01,3.13E+00,-7.98E-01,7.96E+00,1.24E+01,1.31E+00,1.45E+01,1.38E+00,1.05E-01
Sep-04,2.48E+00,4.06E-01,2.28E+00,-2.09E-01,6.60E+00,1.18E+01,1.07E+00,1.38E+01,1.21E+00,1.49E-02
Oct-04,2.55E+00,5.45E-01,1.36E+00,6.40E-01,4.82E+00,1.09E+01,7.86E-01,1.28E+01,8.67E-01,-9.59E-02
Nov-04,2.48E+00,7.06E-01,6.88E-01,1.09E+00,3.43E+00,9.96E+00,6.17E-01,1.17E+01,5.23E-01,-1.78E-01
Dec-04,2.21E+00,8.23E-01,4.10E-01,9.82E-01,2.89E+00,9.23E+00,6.32E-01,1.09E+01,3.58E-01,-2.18E-01
Jan-05,2.02E+00,9.87E-01,4.99E-01,5.32E-01,3.17E+00,9.06E+00,7.61E-01,1.07E+01,4.60E-01,-2.07E-01
Feb-05,1.85E+00,9.98E-01,8.09E-01,4.50E-02,4.23E+00,9.29E+00,9.36E-01,1.11E+01,8.29E-01,-1.10E-01
Mar-05,1.92E+00,8.37E-01,1.27E+00,-1.80E-01,5.76E+00,9.76E+00,1.13E+00,1.18E+01,1.31E+00,2.69E-02
Apr-05,2.30E+00,5.94E-01,1.98E+00,-2.73E-01,7.25E+00,1.05E+01,1.31E+00,1.27E+01,1.63E+00,1.26E-01
May-05,2.73E+00,4.79E-01,2.82E+00,-5.63E-01,8.42E+00,1.15E+01,1.44E+00,1.37E+01,1.69E+00,2.68E-01
