Time,P,Q,E,dS,DSR,DLR,USW,ULW,SH,NET
Jan-02,2.52E-01,3.09E-02,1.69E-01,5.23E-02,4.35E+00,7.83E+00,8.86E-01,1.04E+01,8.16E-01,-9.10E-02
Feb-02,3.24E-01,2.31E-02,3.15E-01,-1.46E-02,5.38E+00,8.27E+00,1.07E+00,1.09E+01,1.21E+00,1.08E-01
Mar-02,6.24E-01,2.27E-02,6.24E-01,-2.31E-02,6.62E+00,9.02E+00,1.29E+00,1.18E+01,1.63E+00,3.09E-01
Apr-02,1.25E+00,3.54E-02,1.11E+00,1.09E-01,7.52E+00,9.96E+00,1.43E+00,1.27E+01,1.85E+00,3.62E-01
May-02,2.06E+00,1.46E-01,1.78E+00,1.32E-01,8.06E+00,1.10E+01,1.46E+00,1.36E+01,1.84E+00,3.11E-01
Jun-02,2.53E+00,2.39E-01,2.21E+00,7.34E-02,8.35E+00,1.18E+01,1.45E+00,1.45E+01,1.74E+00,2.83E-01
Jul-02,2.31E+00,1.86E-01,2.06E+00,6.37E-02,8.22E+00,1.21E+01,1.41E+00,1.50E+01,1.66E+00,2.54E-01
Aug-02,1.88E+00,1.70E-01,1.78E+00,-7.11E-02,7.56E+00,1.18E+01,1.27E+00,1.46E+01,1.53E+00,2.04E-01
Sep-02,1.48E+00,2.35E-01,1.47E+00,-2.28E-01,6.61E+00,1.09E+01,1.09E+00,1.35E+01,1.34E+00,1.26E-01
Oct-02,9.09E-01,2.50E-01,9.72E-01,-3.13E-01,5.65E+00,9.66E+00,9.74E-01,1.23E+01,1.11E+00,-1.42E-03
Nov-02,4.31E-01,2.00E-01,5.44E-01,-3.13E-01,4.72E+00,8.54E+00,8.97E-01,1.11E+01,8.44E-01,-1.15E-01
Dec-02,2.71E-01,1.37E-01,3.08E-01,-1.74E-01,4.09E+00,7.91E+00,8.66E-01,1.03E+01,6.85E-01,-1.52E-01
Jan-03,2.73E-01,6.76E-02,2.69E-01,-6.41E-02,4.27E+00,7.82E+00,9.38E-01,1.02E+01,8.13E-01,-1.07E-01
Feb-03,4.22E-01,3.31E-02,3.88E-01,7.11E-04,5.09E+00,8.27E+00,1.09E+00,1.07E+01,1.18E+00,2.18E-03
Mar-03,7.60E-01,2.38E-02,6.33E-01,1.04E-01,6.15E+00,9.07E+00,1.26E+00,1.16E+01,1.61E+00,1.03E-01
Apr-03,1.25E+00,2.41E-02,1.05E+00,1.75E-01,7.18E+00,9.99E+00,1.40E+00,1.27E+01,1.89E+00,1.24E-01
May-03,1.86E+00,8.68E-02,1.56E+00,2.11E-01,7.84E+00,1.09E+01,1.44E+00,1.37E+01,1.94E+00,6.78E-02
Jun-03,2.58E+00,2.40E-01,1.97E+00,3.70E-01,7.94E+00,1.17E+01,1.39E+00,1.45E+01,1.78E+00,2.52E-02
Jul-03,3.29E+00,4.46E-01,2.12E+00,7.19E-01,7.50E+00,1.22E+01,1.29E+00,1.47E+01,1.51E+00,5.03E-02
Aug-03,3.50E+00,6.39E-01,1.88E+00,9.81E-01,6.81E+00,1.20E+01,1.16E+00,1.44E+01,1.30E+00,1.01E-01
Sep-03,2.90E+00,7.21E-01,1.42E+00,7.57E-01,6.12E+00,1.11E+01,1.03E+00,1.35E+01,1.19E+00,9.59E-02
Oct-03,1.81E+00,6.43E-01,9.68E-01,1.96E-01,5.28E+00,9.79E+00,8.79E-01,1.22E+01,1.00E+00,-1.68E-03
Nov-03,8.43E-01,4.35E-01,5.64E-01,-1.55E-01,4.44E+00,8.58E+00,7.72E-01,1.10E+01,7.59E-01,-1.28E-01
Dec-03,3.37E-01,2.32E-01,2.99E-01,-1.94E-01,4.12E+00,7.76E+00,7.77E-01,1.03E+01,6.54E-01,-1.91E-01
Jan-04,2.20E-01,1.13E-01,2.45E-01,-1.38E-01,4.57E+00,7.52E+00,9.15E-01,1.02E+01,8.11E-01,-1.14E-01
Feb-04,2.87E-01,6.92E-02,3.99E-01,-1.81E-01,5.62E+00,7.91E+00,1.13E+00,1.07E+01,1.20E+00,8.66E-02
Mar-04,4.38E-01,5.93E-02,7.42E-01,-3.62E-01,6.94E+00,8.76E+00,1.34E+00,1.17E+01,1.65E+00,2.89E-01
Apr-04,8.19E-01,7.45E-02,1.19E+00,-4.46E-01,8.07E+00,9.76E+00,1.50E+00,1.28E+01,1.96E+00,3.80E-01
May-04,1.49E+00,1.20E-01,1.59E+00,-2.18E-01,8.49E+00,1.07E+01,1.54E+00,1.38E+01,2.01E+00,2.94E-01
Jun-04,2.28E+00,2.15E-01,1.86E+00,2.03E-01,8.27E+00,1.15E+01,1.47E+00,1.45E+01,1.85E+00,1.34E-01
Jul-04,2.85E+00,3.64E-01,2.01E+00,4.80E-01,7.76E+00,1.20E+01,1.35E+00,1.47E+01,1.61E+00,6.71E-02
Aug-04,2.78E+00,4.86E-01,1.97E+00,3.24E-01,7.08E+00,1.18E+01,1.21E+00,1.43E+01,1.39E+00,8.20E-02
Sep-04,2.00E+00,4.92E-01,1.58E+00,-7.18E-02,6.33E+00,1.09E+01,1.07E+00,1.33E+01,1.23E+00,6.38E-02
Oct-04,1.08E+00,3.44E-01,9.31E-01,-1.93E-01,5.48E+00,9.63E+00,9.57E-01,1.22E+01,1.05E+00,-4.69E-02
Nov-04,5.20E-01,1.93E-01,4.47E-01,-1.20E-01,4.59E+00,8.52E+00,8.74E-01,1.12E+01,8.08E-01,-1.84E-01
Dec-04,2.81E-01,1.50E-01,2.84E-01,-1.52E-01,4.05E+00,7.90E+00,8.63E-01,1.04E+01,6.64E-01,-2.48E-01
Jan-05,2.19E-01,1.02E-01,3.00E-01,-1.83E-01,4.24E+00,7.74E+00,9.88E-01,1.01E+01,7.96E-01,-2.06E-01
Feb-05,3.14E-01,5.46E-02,4.36E-01,-1.77E-01,5.28E+00,8.02E+00,1.23E+00,1.05E+01,1.20E+00,-4.66E-02
Mar-05,5.30E-01,3.94E-02,6.78E-01,-1.87E-01,6.81E+00,8.70E+00,1.50E+00,1.15E+01,1.72E+00,1.42E-01
Apr-05,9.41E-01,4.99E-02,1.08E+00,-1.91E-01,8.05E+00,9.69E+00,1.66E+00,1.27E+01,2.06E+00,2.23E-01
May-05,1.56E+00,1.21E-01,1.57E+00,-1.32E-01,8.55E+00,1.08E+01,1.63E+00,1.38E+01,2.10E+00,2.08E-01
Jun-05,2.23E+00,2.34E-01,1.88E+00,1.14E-01,8.35E+00,1.18E+01,1.51E+00,1.47E+01,1.92E+00,1.53E-01
Jul-05,2.70E+00,3.68E-01,1.96E+00,3.68E-01,7.68E+00,1.23E+01,1.37E+00,1.49E+01,1.63E+00,9.57E-02
Aug-05,2.74E+00,5.08E-01,1.87E+00,3.60E-01,6.87E+00,1.21E+01,1.21E+00,1.44E+01,1.40E+00,9.05E-02
Sep-05,2.25E+00,5.66E-01,1.48E+00,2.08E-01,6.05E+00,1.13E+01,1.06E+00,1.35E+01,1.24E+00,8.24E-02
Oct-05,1.35E+00,4.77E-01,9.43E-01,-7.48E-02,5.27E+00,9.88E+00,9.64E-01,1.22E+01,1.04E+00,-3.23E-02
Nov-05,5.19E-01,3.32E-01,5.47E-01,-3.60E-01,4.63E+00,8.49E+00,9.11E-01,1.11E+01,8.00E-01,-1.90E-01
Dec-05,1.99E-01,2.04E-01,3.18E-01,-3.22E-01,4.17E+00,7.68E+00,8.85E-01,1.02E+01,6.73E-01,-2.58E-01
Jan-06,2.62E-01,9.37E-02,2.68E-01,-9.97E-02,4.25E+00,7.64E+00,9.63E-01,1.01E+01,8.00E-01,-2.03E-01
Feb-06,3.82E-01,5.02E-02,3.93E-01,-6.12E-02,5.28E+00,8.00E+00,1.17E+00,1.06E+01,1.20E+00,-4.66E-02
Mar-06,5.26E-01,4.90E-02,6.93E-01,-2.16E-01,6.78E+00,8.61E+00,1.40E+00,1.15E+01,1.70E+00,1.30E-01
Apr-06,9.33E-01,7.54E-02,1.13E+00,-2.76E-01,7.91E+00,9.58E+00,1.55E+00,1.26E+01,2.03E+00,2.23E-01
May-06,1.52E+00,1.27E-01,1.56E+00,-1.71E-01,8.41E+00,1.07E+01,1.56E+00,1.37E+01,2.08E+00,2.16E-01
